Date, Active, Recoveries, Deaths, Infected,
2020-03-16 00:00:00,    56.00000,     1.00000,     2.00000,   112.00000,
2020-03-16 01:00:00,    56.56479,     1.00000,     2.01133,   115.70527,
2020-03-16 02:00:00,    57.15868,     1.00116,     2.02278,   119.23388,
2020-03-16 03:00:00,    57.77968,     1.00349,     2.03435,   122.60093,
2020-03-16 04:00:00,    58.42597,     1.00700,     2.04605,   125.82025,
2020-03-16 05:00:00,    59.09586,     1.01171,     2.05788,   128.90458,
2020-03-16 06:00:00,    59.78783,     1.01763,     2.06985,   131.86558,
2020-03-16 07:00:00,    60.50045,     1.02477,     2.08195,   134.71397,
2020-03-16 08:00:00,    61.23244,     1.03315,     2.09420,   137.45959,
2020-03-16 09:00:00,    61.98260,     1.04279,     2.10660,   140.11148,
2020-03-16 10:00:00,    62.74983,     1.05371,     2.11916,   142.67793,
2020-03-16 11:00:00,    63.53315,     1.06591,     2.13186,   145.16656,
2020-03-16 12:00:00,    64.33162,     1.07942,     2.14473,   147.58437,
2020-03-16 13:00:00,    65.14441,     1.09425,     2.15776,   149.93777,
2020-03-16 14:00:00,    65.97073,     1.11043,     2.17095,   152.23267,
2020-03-16 15:00:00,    66.80989,     1.12797,     2.18431,   154.47447,
2020-03-16 16:00:00,    67.66122,     1.14690,     2.19784,   156.66815,
2020-03-16 17:00:00,    68.52413,     1.16722,     2.21154,   158.81829,
2020-03-16 18:00:00,    69.39807,     1.18896,     2.22541,   160.92906,
2020-03-16 19:00:00,    70.28253,     1.21213,     2.23946,   163.00432,
2020-03-16 20:00:00,    71.17707,     1.23676,     2.25369,   165.04762,
2020-03-16 21:00:00,    72.08124,     1.26286,     2.26810,   167.06220,
2020-03-16 22:00:00,    72.99468,     1.29045,     2.28269,   169.05104,
2020-03-16 23:00:00,    73.91702,     1.31956,     2.29747,   171.01690,
2020-03-17 00:00:00,    74.84793,     1.35019,     2.31243,   172.96228,
2020-03-17 01:00:00,    75.78713,     1.38237,     2.32757,   174.88950,
2020-03-17 02:00:00,    76.73433,     1.41611,     2.34291,   176.80068,
2020-03-17 03:00:00,    77.68930,     1.45144,     2.35844,   178.69779,
2020-03-17 04:00:00,    78.65179,     1.48837,     2.37416,   180.58261,
2020-03-17 05:00:00,    79.62161,     1.52692,     2.39007,   182.45680,
2020-03-17 06:00:00,    80.59856,     1.56710,     2.40618,   184.32187,
2020-03-17 07:00:00,    81.58247,     1.60895,     2.42248,   186.17921,
2020-03-17 08:00:00,    82.57318,     1.65246,     2.43898,   188.03011,
2020-03-17 09:00:00,    83.57054,     1.69766,     2.45568,   189.87574,
2020-03-17 10:00:00,    84.57443,     1.74457,     2.47258,   191.71718,
2020-03-17 11:00:00,    85.58473,     1.79320,     2.48969,   193.55543,
2020-03-17 12:00:00,    86.60132,     1.84358,     2.50699,   195.39141,
2020-03-17 13:00:00,    87.62410,     1.89571,     2.52450,   197.22595,
2020-03-17 14:00:00,    88.65300,     1.94962,     2.54222,   199.05984,
2020-03-17 15:00:00,    89.68791,     2.00532,     2.56014,   200.89378,
2020-03-17 16:00:00,    90.72878,     2.06283,     2.57826,   202.72842,
2020-03-17 17:00:00,    91.77554,     2.12216,     2.59660,   204.56438,
2020-03-17 18:00:00,    92.82811,     2.18333,     2.61515,   206.40221,
2020-03-17 19:00:00,    93.88646,     2.24636,     2.63391,   208.24242,
2020-03-17 20:00:00,    94.95053,     2.31127,     2.65288,   210.08547,
2020-03-17 21:00:00,    96.02028,     2.37806,     2.67206,   211.93181,
2020-03-17 22:00:00,    97.09567,     2.44675,     2.69146,   213.78183,
2020-03-17 23:00:00,    98.17666,     2.51737,     2.71108,   215.63590,
2020-03-18 00:00:00,    99.26323,     2.58992,     2.73091,   217.49437,
2020-03-18 01:00:00,   100.35535,     2.66442,     2.75096,   219.35753,
2020-03-18 02:00:00,   101.45300,     2.74089,     2.77123,   221.22569,
2020-03-18 03:00:00,   102.55615,     2.81934,     2.79171,   223.09911,
2020-03-18 04:00:00,   103.66479,     2.89979,     2.81242,   224.97803,
2020-03-18 05:00:00,   104.77890,     2.98224,     2.83335,   226.86269,
2020-03-18 06:00:00,   105.89847,     3.06673,     2.85451,   228.75329,
2020-03-18 07:00:00,   107.02350,     3.15325,     2.87589,   230.65002,
2020-03-18 08:00:00,   108.15397,     3.24183,     2.89749,   232.55307,
2020-03-18 09:00:00,   109.28988,     3.33248,     2.91932,   234.46261,
2020-03-18 10:00:00,   110.43122,     3.42521,     2.94138,   236.37878,
2020-03-18 11:00:00,   111.57799,     3.52005,     2.96367,   238.30173,
2020-03-18 12:00:00,   112.73019,     3.61699,     2.98618,   240.23159,
2020-03-18 13:00:00,   113.88783,     3.71606,     3.00893,   242.16848,
2020-03-18 14:00:00,   115.05089,     3.81728,     3.03191,   244.11252,
2020-03-18 15:00:00,   116.21939,     3.92065,     3.05512,   246.06382,
2020-03-18 16:00:00,   117.39332,     4.02618,     3.07856,   248.02247,
2020-03-18 17:00:00,   118.57270,     4.13390,     3.10224,   249.98857,
2020-03-18 18:00:00,   119.75753,     4.24382,     3.12616,   251.96219,
2020-03-18 19:00:00,   120.94781,     4.35595,     3.15031,   253.94342,
2020-03-18 20:00:00,   122.14356,     4.47029,     3.17471,   255.93234,
2020-03-18 21:00:00,   123.34477,     4.58688,     3.19934,   257.92901,
2020-03-18 22:00:00,   124.55146,     4.70572,     3.22421,   259.93350,
2020-03-18 23:00:00,   125.76365,     4.82682,     3.24932,   261.94587,
2020-03-19 00:00:00,   126.98133,     4.95020,     3.27468,   263.96618,
2020-03-19 01:00:00,   128.20451,     5.07587,     3.30027,   265.99448,
2020-03-19 02:00:00,   129.43322,     5.20384,     3.32612,   268.03082,
2020-03-19 03:00:00,   130.66746,     5.33412,     3.35221,   270.07525,
2020-03-19 04:00:00,   131.90724,     5.46674,     3.37854,   272.12781,
2020-03-19 05:00:00,   133.15257,     5.60170,     3.40513,   274.18855,
2020-03-19 06:00:00,   134.40348,     5.73901,     3.43196,   276.25750,
2020-03-19 07:00:00,   135.65996,     5.87869,     3.45904,   278.33471,
2020-03-19 08:00:00,   136.92203,     6.02076,     3.48638,   280.42021,
2020-03-19 09:00:00,   138.18971,     6.16521,     3.51396,   282.51404,
2020-03-19 10:00:00,   139.46301,     6.31207,     3.54180,   284.61622,
2020-03-19 11:00:00,   140.74194,     6.46135,     3.56990,   286.72679,
2020-03-19 12:00:00,   142.02652,     6.61306,     3.59825,   288.84578,
2020-03-19 13:00:00,   143.31676,     6.76721,     3.62685,   290.97321,
2020-03-19 14:00:00,   144.61268,     6.92382,     3.65572,   293.10912,
2020-03-19 15:00:00,   145.91429,     7.08290,     3.68484,   295.25353,
2020-03-19 16:00:00,   147.22160,     7.24445,     3.71422,   297.40646,
2020-03-19 17:00:00,   148.53464,     7.40850,     3.74387,   299.56794,
2020-03-19 18:00:00,   149.85340,     7.57506,     3.77378,   301.73798,
2020-03-19 19:00:00,   151.17792,     7.74413,     3.80395,   303.91663,
2020-03-19 20:00:00,   152.50821,     7.91573,     3.83438,   306.10388,
2020-03-19 21:00:00,   153.84428,     8.08987,     3.86508,   308.29977,
2020-03-19 22:00:00,   155.18614,     8.26656,     3.89605,   310.50432,
2020-03-19 23:00:00,   156.53381,     8.44582,     3.92728,   312.71754,
2020-03-20 00:00:00,   157.88731,     8.62765,     3.95879,   314.93946,
2020-03-20 01:00:00,   159.24666,     8.81208,     3.99056,   317.17008,
2020-03-20 02:00:00,   160.61186,     8.99910,     4.02261,   319.40944,
2020-03-20 03:00:00,   161.98294,     9.18874,     4.05492,   321.65754,
2020-03-20 04:00:00,   163.35991,     9.38100,     4.08752,   323.91441,
2020-03-20 05:00:00,   164.74278,     9.57590,     4.12038,   326.18005,
2020-03-20 06:00:00,   166.13158,     9.77345,     4.15353,   328.45450,
2020-03-20 07:00:00,   167.52632,     9.97365,     4.18695,   330.73775,
2020-03-20 08:00:00,   168.92700,    10.17653,     4.22064,   333.02983,
