Date, Active, Recoveries, Deaths, Active+Infected,
2020-03-16 00:00:00,    56.00000,     1.00000,     2.00000,   112.00000,
2020-03-16 01:00:00,    57.18413,     1.00000,     2.01171,   112.66669,
2020-03-16 02:00:00,    58.35543,     1.00185,     2.02367,   113.35428,
2020-03-16 03:00:00,    59.51458,     1.00557,     2.03586,   114.06214,
2020-03-16 04:00:00,    60.66224,     1.01121,     2.04829,   114.78968,
2020-03-16 05:00:00,    61.79903,     1.01879,     2.06095,   115.53631,
2020-03-16 06:00:00,    62.92557,     1.02835,     2.07385,   116.30149,
2020-03-16 07:00:00,    64.04243,     1.03989,     2.08697,   117.08470,
2020-03-16 08:00:00,    65.15017,     1.05345,     2.10032,   117.88543,
2020-03-16 09:00:00,    66.24934,     1.06905,     2.11390,   118.70321,
2020-03-16 10:00:00,    67.34046,     1.08670,     2.12770,   119.53758,
2020-03-16 11:00:00,    68.42403,     1.10643,     2.14172,   120.38812,
2020-03-16 12:00:00,    69.50053,     1.12826,     2.15596,   121.25441,
2020-03-16 13:00:00,    70.57044,     1.15218,     2.17042,   122.13606,
2020-03-16 14:00:00,    71.63420,     1.17823,     2.18510,   123.03268,
2020-03-16 15:00:00,    72.69224,     1.20641,     2.19999,   123.94393,
2020-03-16 16:00:00,    73.74499,     1.23673,     2.21510,   124.86947,
2020-03-16 17:00:00,    74.79285,     1.26921,     2.23042,   125.80896,
2020-03-16 18:00:00,    75.83620,     1.30385,     2.24596,   126.76209,
2020-03-16 19:00:00,    76.87542,     1.34066,     2.26170,   127.72858,
2020-03-16 20:00:00,    77.91087,     1.37965,     2.27766,   128.70815,
2020-03-16 21:00:00,    78.94290,     1.42082,     2.29383,   129.70051,
2020-03-16 22:00:00,    79.97185,     1.46419,     2.31020,   130.70543,
2020-03-16 23:00:00,    80.99804,     1.50976,     2.32679,   131.72265,
2020-03-17 00:00:00,    82.02179,     1.55753,     2.34358,   132.75195,
2020-03-17 01:00:00,    83.04339,     1.60750,     2.36058,   133.79311,
