Date, Active, Recoveries, Deaths, Active+Infected, lambda, kappa,
2020-04-15 00:00:00,  1736.00000,   596.00000,   111.00000,  4179.00000,     0.00000,     0.00334,
2020-04-15 01:00:00,  1739.32333,   596.00000,   111.24183,  4188.79971,     0.01722,     0.00333,
2020-04-15 02:00:00,  1742.55206,   596.10371,   111.48411,  4198.67101,     0.02044,     0.00332,
2020-04-15 03:00:00,  1745.69306,   596.30450,   111.72683,  4208.61636,     0.02104,     0.00331,
2020-04-15 04:00:00,  1748.75281,   596.59615,   111.96998,  4218.63792,     0.02116,     0.00330,
2020-04-15 05:00:00,  1751.73735,   596.97285,   112.21355,  4228.73751,     0.02118,     0.00328,
2020-04-15 06:00:00,  1754.65234,   597.42916,   112.45752,  4238.91666,     0.02118,     0.00327,
2020-04-15 07:00:00,  1757.50312,   597.95998,   112.70190,  4249.17664,     0.02118,     0.00326,
2020-04-15 08:00:00,  1760.29467,   598.56055,   112.94666,  4259.51843,     0.02118,     0.00325,
2020-04-15 09:00:00,  1763.03164,   599.22641,   113.19181,  4269.94283,     0.02118,     0.00324,
2020-04-15 10:00:00,  1765.71842,   599.95340,   113.43734,  4280.45039,     0.02118,     0.00323,
2020-04-15 11:00:00,  1768.35910,   600.73760,   113.68323,  4291.04145,     0.02118,     0.00322,
2020-04-15 12:00:00,  1770.95752,   601.57538,   113.92948,  4301.71620,     0.02118,     0.00321,
2020-04-15 13:00:00,  1773.51727,   602.46334,   114.17609,  4312.47462,     0.02118,     0.00320,
2020-04-15 14:00:00,  1776.04173,   603.39827,   114.42305,  4323.31656,     0.02118,     0.00319,
2020-04-15 15:00:00,  1778.53404,   604.37721,   114.67036,  4334.24171,     0.02118,     0.00318,
2020-04-15 16:00:00,  1780.99716,   605.39738,   114.91801,  4345.24963,     0.02118,     0.00317,
2020-04-15 17:00:00,  1783.43384,   606.45617,   115.16600,  4356.33976,     0.02118,     0.00316,
2020-04-15 18:00:00,  1785.84668,   607.55115,   115.41433,  4367.51142,     0.02118,     0.00315,
2020-04-15 19:00:00,  1788.23811,   608.68006,   115.66299,  4378.76385,     0.02118,     0.00313,
2020-04-15 20:00:00,  1790.61038,   609.84079,   115.91197,  4390.09616,     0.02118,     0.00312,
2020-04-15 21:00:00,  1792.96562,   611.03134,   116.16128,  4401.50740,     0.02118,     0.00311,
2020-04-15 22:00:00,  1795.30583,   612.24987,   116.41092,  4412.99654,     0.02118,     0.00310,
2020-04-15 23:00:00,  1797.63286,   613.49465,   116.66088,  4424.56248,     0.02118,     0.00309,
2020-04-16 00:00:00,  1799.94846,   614.76408,   116.91116,  4436.20405,     0.02118,     0.00308,
2020-04-16 01:00:00,  1802.25425,   616.05664,   117.16176,  4447.92002,     0.02118,     0.00307,
2020-04-16 02:00:00,  1804.55177,   617.37094,   117.41268,  4459.70912,     0.02118,     0.00306,
2020-04-16 03:00:00,  1806.84244,   618.70566,   117.66391,  4471.57003,     0.02118,     0.00305,
2020-04-16 04:00:00,  1809.12759,   620.05958,   117.91546,  4483.50140,     0.02118,     0.00304,
2020-04-16 05:00:00,  1811.40850,   621.43155,   118.16732,  4495.50182,     0.02118,     0.00303,
2020-04-16 06:00:00,  1813.68631,   622.82051,   118.41950,  4507.56986,     0.02118,     0.00302,
2020-04-16 07:00:00,  1815.96213,   624.22547,   118.67200,  4519.70408,     0.02118,     0.00301,
2020-04-16 08:00:00,  1818.23699,   625.64549,   118.92481,  4531.90298,     0.02118,     0.00300,
2020-04-16 09:00:00,  1820.51185,   627.07971,   119.17793,  4544.16509,     0.02118,     0.00299,
2020-04-16 10:00:00,  1822.78760,   628.52732,   119.43137,  4556.48887,     0.02118,     0.00298,
2020-04-16 11:00:00,  1825.06509,   629.98757,   119.68512,  4568.87280,     0.02118,     0.00297,
2020-04-16 12:00:00,  1827.34509,   631.45975,   119.93918,  4581.31534,     0.02118,     0.00296,
2020-04-16 13:00:00,  1829.62836,   632.94321,   120.19356,  4593.81494,     0.02118,     0.00295,
2020-04-16 14:00:00,  1831.91556,   634.43735,   120.44826,  4606.37006,     0.02118,     0.00294,
2020-04-16 15:00:00,  1834.20736,   635.94157,   120.70327,  4618.97912,     0.02118,     0.00293,
2020-04-16 16:00:00,  1836.50434,   637.45537,   120.95860,  4631.64057,     0.02118,     0.00292,
2020-04-16 17:00:00,  1838.80707,   638.97823,   121.21425,  4644.35286,     0.02118,     0.00291,
2020-04-16 18:00:00,  1841.11608,   640.50971,   121.47022,  4657.11441,     0.02118,     0.00290,
2020-04-16 19:00:00,  1843.43185,   642.04936,   121.72650,  4669.92369,     0.02118,     0.00289,
2020-04-16 20:00:00,  1845.75485,   643.59679,   121.98310,  4682.77914,     0.02118,     0.00288,
2020-04-16 21:00:00,  1848.08550,   645.15162,   122.24003,  4695.67921,     0.02118,     0.00287,
2020-04-16 22:00:00,  1850.42420,   646.71351,   122.49728,  4708.62237,     0.02118,     0.00286,
2020-04-16 23:00:00,  1852.77133,   648.28213,   122.75485,  4721.60710,     0.02118,     0.00285,
2020-04-17 00:00:00,  1855.12723,   649.85718,   123.01275,  4734.63187,     0.02118,     0.00285,
2020-04-17 01:00:00,  1857.49222,   651.43838,   123.27097,  4747.69517,     0.02118,     0.00284,
2020-04-17 02:00:00,  1859.86661,   653.02547,   123.52952,  4760.79552,     0.02118,     0.00283,
2020-04-17 03:00:00,  1862.25068,   654.61820,   123.78840,  4773.93143,     0.02118,     0.00282,
2020-04-17 04:00:00,  1864.64469,   656.21635,   124.04761,  4787.10142,     0.02118,     0.00281,
2020-04-17 05:00:00,  1867.04889,   657.81970,   124.30715,  4800.30404,     0.02118,     0.00280,
2020-04-17 06:00:00,  1869.46349,   659.42807,   124.56702,  4813.53784,     0.02118,     0.00279,
2020-04-17 07:00:00,  1871.88872,   661.04126,   124.82723,  4826.80140,     0.02118,     0.00278,
2020-04-17 08:00:00,  1874.32475,   662.65911,   125.08777,  4840.09329,     0.02118,     0.00277,
2020-04-17 09:00:00,  1876.77179,   664.28147,   125.34865,  4853.41212,     0.02118,     0.00276,
2020-04-17 10:00:00,  1879.22998,   665.90818,   125.60987,  4866.75651,     0.02118,     0.00275,
2020-04-17 11:00:00,  1881.69948,   667.53911,   125.87143,  4880.12508,     0.02118,     0.00274,
2020-04-17 12:00:00,  1884.18044,   669.17414,   126.13333,  4893.51649,     0.02118,     0.00273,
2020-04-17 13:00:00,  1886.67299,   670.81315,   126.39557,  4906.92940,     0.02118,     0.00272,
2020-04-17 14:00:00,  1889.17724,   672.45603,   126.65816,  4920.36249,     0.02118,     0.00272,
2020-04-17 15:00:00,  1891.69331,   674.10268,   126.92109,  4933.81445,     0.02118,     0.00271,
2020-04-17 16:00:00,  1894.22130,   675.75300,   127.18438,  4947.28401,     0.02118,     0.00270,
2020-04-17 17:00:00,  1896.76129,   677.40692,   127.44801,  4960.76989,     0.02118,     0.00269,
2020-04-17 18:00:00,  1899.31337,   679.06435,   127.71200,  4974.27085,     0.02118,     0.00268,
2020-04-17 19:00:00,  1901.87762,   680.72522,   127.97634,  4987.78564,     0.02118,     0.00267,
2020-04-17 20:00:00,  1904.45410,   682.38947,   128.24103,  5001.31306,     0.02118,     0.00266,
2020-04-17 21:00:00,  1907.04288,   684.05702,   128.50608,  5014.85190,     0.02118,     0.00265,
2020-04-17 22:00:00,  1909.64399,   685.72783,   128.77149,  5028.40099,     0.02118,     0.00264,
2020-04-17 23:00:00,  1912.25751,   687.40184,   129.03726,  5041.95914,     0.02118,     0.00263,
2020-04-18 00:00:00,  1914.88346,   689.07899,   129.30339,  5055.52523,     0.02118,     0.00263,
2020-04-18 01:00:00,  1917.52188,   690.75926,   129.56989,  5069.09811,     0.02118,     0.00262,
2020-04-18 02:00:00,  1920.17279,   692.44259,   129.83675,  5082.67668,     0.02118,     0.00261,
2020-04-18 03:00:00,  1922.83624,   694.12894,   130.10397,  5096.25984,     0.02118,     0.00260,
2020-04-18 04:00:00,  1925.51223,   695.81829,   130.37157,  5109.84650,     0.02118,     0.00259,
2020-04-18 05:00:00,  1928.20078,   697.51061,   130.63953,  5123.43561,     0.02118,     0.00258,
2020-04-18 06:00:00,  1930.90190,   699.20586,   130.90787,  5137.02612,     0.02118,     0.00257,
2020-04-18 07:00:00,  1933.61560,   700.90401,   131.17659,  5150.61700,     0.02118,     0.00257,
2020-04-18 08:00:00,  1936.34188,   702.60506,   131.44567,  5164.20724,     0.02118,     0.00256,
2020-04-18 09:00:00,  1939.08075,   704.30896,   131.71514,  5177.79584,     0.02118,     0.00255,
2020-04-18 10:00:00,  1941.83219,   706.01572,   131.98499,  5191.38182,     0.02118,     0.00254,
2020-04-18 11:00:00,  1944.59620,   707.72530,   132.25521,  5204.96423,     0.02118,     0.00253,
2020-04-18 12:00:00,  1947.37276,   709.43769,   132.52582,  5218.54210,     0.02118,     0.00252,
2020-04-18 13:00:00,  1950.16187,   711.15289,   132.79681,  5232.11451,     0.02118,     0.00251,
2020-04-18 14:00:00,  1952.96351,   712.87087,   133.06819,  5245.68055,     0.02118,     0.00251,
2020-04-18 15:00:00,  1955.77766,   714.59164,   133.33996,  5259.23931,     0.02118,     0.00250,
2020-04-18 16:00:00,  1958.60429,   716.31517,   133.61212,  5272.78991,     0.02118,     0.00249,
2020-04-18 17:00:00,  1961.44338,   718.04146,   133.88467,  5286.33148,     0.02118,     0.00248,
2020-04-18 18:00:00,  1964.29491,   719.77051,   134.15761,  5299.86316,     0.02118,     0.00247,
2020-04-18 19:00:00,  1967.15884,   721.50231,   134.43094,  5313.38412,     0.02118,     0.00246,
2020-04-18 20:00:00,  1970.03514,   723.23686,   134.70468,  5326.89354,     0.02118,     0.00246,
2020-04-18 21:00:00,  1972.92377,   724.97415,   134.97881,  5340.39059,     0.02118,     0.00245,
2020-04-18 22:00:00,  1975.82471,   726.71418,   135.25334,  5353.87449,     0.02118,     0.00244,
2020-04-18 23:00:00,  1978.73792,   728.45695,   135.52827,  5367.34446,     0.02118,     0.00243,
2020-04-19 00:00:00,  1981.66334,   730.20246,   135.80361,  5380.79973,     0.02118,     0.00242,
2020-04-19 01:00:00,  1984.60095,   731.95070,   136.07935,  5394.23955,     0.02118,     0.00242,
2020-04-19 02:00:00,  1987.55070,   733.70169,   136.35550,  5407.66318,     0.02118,     0.00241,
2020-04-19 03:00:00,  1990.51254,   735.45542,   136.63205,  5421.06989,     0.02118,     0.00240,
2020-04-19 04:00:00,  1993.48643,   737.21189,   136.90902,  5434.45897,     0.02118,     0.00239,
2020-04-19 05:00:00,  1996.47233,   738.97110,   137.18640,  5447.82973,     0.02118,     0.00238,
2020-04-19 06:00:00,  1999.47017,   740.73307,   137.46419,  5461.18148,     0.02118,     0.00238,
2020-04-19 07:00:00,  2002.47991,   742.49778,   137.74240,  5474.51355,     0.02118,     0.00237,
2020-04-19 08:00:00,  2005.50150,   744.26525,   138.02102,  5487.82528,     0.02118,     0.00236,
2020-04-19 09:00:00,  2008.53489,   746.03548,   138.30006,  5501.11602,     0.02118,     0.00235,
2020-04-19 10:00:00,  2011.58001,   747.80848,   138.57952,  5514.38514,     0.02118,     0.00234,
2020-04-19 11:00:00,  2014.63683,   749.58424,   138.85941,  5527.63203,     0.02118,     0.00234,
2020-04-19 12:00:00,  2017.70527,   751.36278,   139.13971,  5540.85606,     0.02118,     0.00233,
2020-04-19 13:00:00,  2020.78528,   753.14410,   139.42044,  5554.05665,     0.02118,     0.00232,
2020-04-19 14:00:00,  2023.87680,   754.92820,   139.70160,  5567.23321,     0.02118,     0.00231,
2020-04-19 15:00:00,  2026.97978,   756.71510,   139.98319,  5580.38517,     0.02118,     0.00231,
2020-04-19 16:00:00,  2030.09414,   758.50479,   140.26520,  5593.51196,     0.02118,     0.00230,
2020-04-19 17:00:00,  2033.21984,   760.29729,   140.54765,  5606.61303,     0.02118,     0.00229,
2020-04-19 18:00:00,  2036.35680,   762.09260,   140.83053,  5619.68786,     0.02118,     0.00228,
2020-04-19 19:00:00,  2039.50497,   763.89073,   141.11384,  5632.73590,     0.02118,     0.00227,
2020-04-19 20:00:00,  2042.66428,   765.69168,   141.39759,  5645.75664,     0.02118,     0.00227,
2020-04-19 21:00:00,  2045.83466,   767.49546,   141.68177,  5658.74958,     0.02118,     0.00226,
2020-04-19 22:00:00,  2049.01605,   769.30209,   141.96640,  5671.71422,     0.02118,     0.00225,
2020-04-19 23:00:00,  2052.20838,   771.11156,   142.25147,  5684.65008,     0.02118,     0.00224,
2020-04-20 00:00:00,  2055.41159,   772.92388,   142.53697,  5697.55669,     0.02118,     0.00224,
2020-04-20 01:00:00,  2058.62560,   774.73906,   142.82292,  5710.43357,     0.02118,     0.00223,
2020-04-20 02:00:00,  2061.85036,   776.55712,   143.10932,  5723.28028,     0.02118,     0.00222,
2020-04-20 03:00:00,  2065.08578,   778.37805,   143.39616,  5736.09637,     0.02118,     0.00221,
2020-04-20 04:00:00,  2068.33181,   780.20186,   143.68345,  5748.88141,     0.02118,     0.00221,
2020-04-20 05:00:00,  2071.58837,   782.02857,   143.97119,  5761.63497,     0.02118,     0.00220,
2020-04-20 06:00:00,  2074.85538,   783.85817,   144.25938,  5774.35664,     0.02118,     0.00219,
2020-04-20 07:00:00,  2078.13279,   785.69069,   144.54802,  5787.04602,     0.02118,     0.00219,
2020-04-20 08:00:00,  2081.42051,   787.52612,   144.83712,  5799.70270,     0.02118,     0.00218,
2020-04-20 09:00:00,  2084.71847,   789.36447,   145.12667,  5812.32630,     0.02118,     0.00217,
2020-04-20 10:00:00,  2088.02661,   791.20575,   145.41667,  5824.91645,     0.02118,     0.00216,
2020-04-20 11:00:00,  2091.34485,   793.04998,   145.70714,  5837.47277,     0.02118,     0.00216,
2020-04-20 12:00:00,  2094.67311,   794.89715,   145.99806,  5849.99490,     0.02118,     0.00215,
2020-04-20 13:00:00,  2098.01132,   796.74727,   146.28945,  5862.48249,     0.02118,     0.00214,
2020-04-20 14:00:00,  2101.35941,   798.60036,   146.58129,  5874.93520,     0.02118,     0.00213,
2020-04-20 15:00:00,  2104.71730,   800.45642,   146.87360,  5887.35269,     0.02118,     0.00213,
2020-04-20 16:00:00,  2108.08492,   802.31545,   147.16638,  5899.73464,     0.02118,     0.00212,
2020-04-20 17:00:00,  2111.46220,   804.17748,   147.45962,  5912.08072,     0.02118,     0.00211,
2020-04-20 18:00:00,  2114.84904,   806.04250,   147.75333,  5924.39064,     0.02118,     0.00211,
2020-04-20 19:00:00,  2118.24539,   807.91052,   148.04750,  5936.66407,     0.02118,     0.00210,
2020-04-20 20:00:00,  2121.65116,   809.78155,   148.34215,  5948.90073,     0.02118,     0.00209,
2020-04-20 21:00:00,  2125.06628,   811.65559,   148.63727,  5961.10033,     0.02118,     0.00209,
2020-04-20 22:00:00,  2128.49067,   813.53267,   148.93286,  5973.26260,     0.02118,     0.00208,
2020-04-20 23:00:00,  2131.92426,   815.41277,   149.22892,  5985.38725,     0.02118,     0.00207,
2020-04-21 00:00:00,  2135.36696,   817.29592,   149.52546,  5997.47402,     0.02118,     0.00206,
2020-04-21 01:00:00,  2138.81870,   819.18211,   149.82248,  6009.52266,     0.02118,     0.00206,
2020-04-21 02:00:00,  2142.27940,   821.07137,   150.11997,  6021.53291,     0.02118,     0.00205,
2020-04-21 03:00:00,  2145.74898,   822.96368,   150.41794,  6033.50453,     0.02118,     0.00204,
2020-04-21 04:00:00,  2149.22737,   824.85907,   150.71639,  6045.43727,     0.02118,     0.00204,
2020-04-21 05:00:00,  2152.71449,   826.75753,   151.01533,  6057.33092,     0.02118,     0.00203,
2020-04-21 06:00:00,  2156.21026,   828.65908,   151.31474,  6069.18525,     0.02118,     0.00202,
2020-04-21 07:00:00,  2159.71459,   830.56372,   151.61464,  6081.00003,     0.02118,     0.00202,
2020-04-21 08:00:00,  2163.22742,   832.47146,   151.91503,  6092.77506,     0.02118,     0.00201,
2020-04-21 09:00:00,  2166.74866,   834.38231,   152.21590,  6104.51013,     0.02118,     0.00200,
2020-04-21 10:00:00,  2170.27823,   836.29628,   152.51725,  6116.20504,     0.02118,     0.00200,
2020-04-21 11:00:00,  2173.81606,   838.21337,   152.81910,  6127.85960,     0.02118,     0.00199,
2020-04-21 12:00:00,  2177.36206,   840.13358,   153.12143,  6139.47363,     0.02118,     0.00198,
2020-04-21 13:00:00,  2180.91616,   842.05693,   153.42426,  6151.04694,     0.02118,     0.00198,
2020-04-21 14:00:00,  2184.47828,   843.98343,   153.72758,  6162.57936,     0.02118,     0.00197,
2020-04-21 15:00:00,  2188.04833,   845.91307,   154.03139,  6174.07072,     0.02118,     0.00196,
2020-04-21 16:00:00,  2191.62625,   847.84587,   154.33569,  6185.52085,     0.02118,     0.00196,
2020-04-21 17:00:00,  2195.21194,   849.78184,   154.64049,  6196.92959,     0.02118,     0.00195,
2020-04-21 18:00:00,  2198.80533,   851.72097,   154.94578,  6208.29680,     0.02118,     0.00194,
2020-04-21 19:00:00,  2202.40635,   853.66328,   155.25158,  6219.62233,     0.02118,     0.00194,
2020-04-21 20:00:00,  2206.01490,   855.60878,   155.55786,  6230.90603,     0.02118,     0.00193,
2020-04-21 21:00:00,  2209.63091,   857.55746,   155.86465,  6242.14777,     0.02118,     0.00192,
2020-04-21 22:00:00,  2213.25431,   859.50934,   156.17194,  6253.34742,     0.02118,     0.00192,
2020-04-21 23:00:00,  2216.88500,   861.46443,   156.47973,  6264.50485,     0.02118,     0.00191,
2020-04-22 00:00:00,  2220.52292,   863.42272,   156.78802,  6275.61993,     0.02118,     0.00191,
