Date, Active, Recoveries, Deaths, Active+Infected, lambda, kappa,
2020-04-16 00:00:00,  1825.00000,   631.00000,   115.00000,  4396.00000,     0.00000,     0.00345,
2020-04-16 01:00:00,  1827.36772,   631.00000,   115.26284,  4425.42260,     0.01801,     0.00344,
2020-04-16 02:00:00,  1829.63596,   631.12685,   115.52596,  4454.98841,     0.02044,     0.00343,
2020-04-16 03:00:00,  1831.81481,   631.37072,   115.78936,  4484.69578,     0.02077,     0.00342,
2020-04-16 04:00:00,  1833.91362,   631.72250,   116.05303,  4514.54255,     0.02082,     0.00341,
2020-04-16 05:00:00,  1835.94098,   632.17382,   116.31694,  4544.52609,     0.02082,     0.00340,
2020-04-16 06:00:00,  1837.90485,   632.71695,   116.58110,  4574.64333,     0.02082,     0.00338,
2020-04-16 07:00:00,  1839.81256,   633.34475,   116.84550,  4604.89080,     0.02082,     0.00337,
2020-04-16 08:00:00,  1841.67088,   634.05064,   117.11012,  4635.26472,     0.02082,     0.00336,
2020-04-16 09:00:00,  1843.48605,   634.82858,   117.37496,  4665.76099,     0.02082,     0.00335,
2020-04-16 10:00:00,  1845.26383,   635.67297,   117.64002,  4696.37520,     0.02082,     0.00334,
2020-04-16 11:00:00,  1847.00951,   636.57867,   117.90528,  4727.10276,     0.02082,     0.00333,
2020-04-16 12:00:00,  1848.72800,   637.54093,   118.17075,  4757.93881,     0.02082,     0.00331,
2020-04-16 13:00:00,  1850.42379,   638.55538,   118.43642,  4788.87834,     0.02082,     0.00330,
2020-04-16 14:00:00,  1852.10103,   639.61801,   118.70229,  4819.91617,     0.02082,     0.00329,
2020-04-16 15:00:00,  1853.76355,   640.72511,   118.96835,  4851.04697,     0.02082,     0.00328,
2020-04-16 16:00:00,  1855.41487,   641.87327,   119.23461,  4882.26532,     0.02082,     0.00327,
2020-04-16 17:00:00,  1857.05821,   643.05934,   119.50106,  4913.56567,     0.02082,     0.00326,
2020-04-16 18:00:00,  1858.69657,   644.28043,   119.76770,  4944.94242,     0.02082,     0.00325,
2020-04-16 19:00:00,  1860.33268,   645.53389,   120.03453,  4976.38989,     0.02082,     0.00323,
2020-04-16 20:00:00,  1861.96907,   646.81726,   120.30155,  5007.90237,     0.02082,     0.00322,
2020-04-16 21:00:00,  1863.60804,   648.12829,   120.56876,  5039.47409,     0.02082,     0.00321,
2020-04-16 22:00:00,  1865.25173,   649.46490,   120.83616,  5071.09929,     0.02082,     0.00320,
2020-04-16 23:00:00,  1866.90208,   650.82520,   121.10376,  5102.77218,     0.02082,     0.00319,
2020-04-17 00:00:00,  1868.56090,   652.20741,   121.37154,  5134.48699,     0.02082,     0.00318,
2020-04-17 01:00:00,  1870.22981,   653.60994,   121.63952,  5166.23794,     0.02082,     0.00317,
2020-04-17 02:00:00,  1871.91034,   655.03128,   121.90770,  5198.01929,     0.02082,     0.00316,
2020-04-17 03:00:00,  1873.60385,   656.47009,   122.17607,  5229.82532,     0.02082,     0.00315,
2020-04-17 04:00:00,  1875.31162,   657.92510,   122.44464,  5261.65035,     0.02082,     0.00314,
2020-04-17 05:00:00,  1877.03478,   659.39517,   122.71342,  5293.48874,     0.02082,     0.00312,
2020-04-17 06:00:00,  1878.77440,   660.87922,   122.98239,  5325.33491,     0.02082,     0.00311,
2020-04-17 07:00:00,  1880.53143,   662.37629,   123.25158,  5357.18331,     0.02082,     0.00310,
2020-04-17 08:00:00,  1882.30675,   663.88548,   123.52096,  5389.02847,     0.02082,     0.00309,
