Date, Active, Recoveries, Deaths, Active+Infected, lambda, kappa,
2020-03-30 00:00:00,   820.00000,   228.00000,    23.00000,  1640.00000,     0.00000,     0.00469,
2020-03-30 01:00:00,   825.59678,   228.00000,    23.16095,  1640.66563,     0.00418,     0.00467,
2020-03-30 02:00:00,   831.15147,   228.00656,    23.32295,  1641.36107,     0.00766,     0.00465,
2020-03-30 03:00:00,   836.66452,   228.01973,    23.48601,  1642.08585,     0.01056,     0.00463,
2020-03-30 04:00:00,   842.13643,   228.03953,    23.65011,  1642.83950,     0.01297,     0.00461,
2020-03-30 05:00:00,   847.56764,   228.06600,    23.81525,  1643.62156,     0.01497,     0.00459,
2020-03-30 06:00:00,   852.95862,   228.09918,    23.98141,  1644.43157,     0.01663,     0.00456,
2020-03-30 07:00:00,   858.30982,   228.13909,    24.14859,  1645.26908,     0.01802,     0.00454,
2020-03-30 08:00:00,   863.62169,   228.18576,    24.31678,  1646.13366,     0.01917,     0.00452,
2020-03-30 09:00:00,   868.89468,   228.23923,    24.48597,  1647.02488,     0.02013,     0.00450,
2020-03-30 10:00:00,   874.12922,   228.29951,    24.65616,  1647.94232,     0.02092,     0.00448,
2020-03-30 11:00:00,   879.32576,   228.36664,    24.82733,  1648.88555,     0.02158,     0.00446,
2020-03-30 12:00:00,   884.48472,   228.44063,    24.99948,  1649.85418,     0.02213,     0.00444,
2020-03-30 13:00:00,   889.60652,   228.52152,    25.17260,  1650.84779,     0.02259,     0.00442,
2020-03-30 14:00:00,   894.69159,   228.60932,    25.34669,  1651.86600,     0.02297,     0.00440,
2020-03-30 15:00:00,   899.74034,   228.70405,    25.52172,  1652.90841,     0.02329,     0.00438,
2020-03-30 16:00:00,   904.75319,   228.80573,    25.69771,  1653.97466,     0.02355,     0.00435,
2020-03-30 17:00:00,   909.73053,   228.91438,    25.87464,  1655.06435,     0.02377,     0.00433,
2020-03-30 18:00:00,   914.67279,   229.03002,    26.05250,  1656.17712,     0.02396,     0.00431,
2020-03-30 19:00:00,   919.58035,   229.15266,    26.23129,  1657.31262,     0.02411,     0.00429,
2020-03-30 20:00:00,   924.45360,   229.28231,    26.41100,  1658.47049,     0.02423,     0.00427,
2020-03-30 21:00:00,   929.29295,   229.41900,    26.59162,  1659.65037,     0.02434,     0.00425,
2020-03-30 22:00:00,   934.09877,   229.56273,    26.77314,  1660.85192,     0.02443,     0.00423,
