Date, Active, Recoveries, Deaths, Active+Infected, lambda, kappa,
2020-04-14 00:00:00,  1616.00000,   559.00000,   102.00000,  3893.00000,     0.00000,     0.00381,
2020-04-14 01:00:00,  1620.32901,   559.00000,   102.25707,  3896.35186,     0.01706,     0.00380,
2020-04-14 02:00:00,  1624.54901,   559.10665,   102.51464,  3899.69864,     0.01937,     0.00378,
2020-04-14 03:00:00,  1628.66823,   559.31194,   102.77268,  3903.04667,     0.01968,     0.00377,
2020-04-14 04:00:00,  1632.69429,   559.60847,   103.03119,  3906.40173,     0.01972,     0.00376,
2020-04-14 05:00:00,  1636.63424,   559.98942,   103.29014,  3909.76907,     0.01973,     0.00374,
2020-04-14 06:00:00,  1640.49462,   560.44845,   103.54953,  3913.15343,     0.01973,     0.00373,
2020-04-14 07:00:00,  1644.28148,   560.97971,   103.80934,  3916.55911,     0.01973,     0.00371,
2020-04-14 08:00:00,  1648.00041,   561.57782,   104.06956,  3919.98998,     0.01973,     0.00370,
2020-04-14 09:00:00,  1651.65660,   562.23779,   104.33017,  3923.44953,     0.01973,     0.00368,
2020-04-14 10:00:00,  1655.25484,   562.95501,   104.59118,  3926.94089,     0.01973,     0.00367,
2020-04-14 11:00:00,  1658.79958,   563.72523,   104.85256,  3930.46688,     0.01973,     0.00366,
2020-04-14 12:00:00,  1662.29493,   564.54452,   105.11431,  3934.02997,     0.01973,     0.00364,
2020-04-14 13:00:00,  1665.74469,   565.40926,   105.37642,  3937.63241,     0.01973,     0.00363,
2020-04-14 14:00:00,  1669.15239,   566.31610,   105.63888,  3941.27615,     0.01973,     0.00361,
2020-04-14 15:00:00,  1672.52128,   567.26196,   105.90170,  3944.96292,     0.01973,     0.00360,
2020-04-14 16:00:00,  1675.85438,   568.24399,   106.16485,  3948.69423,     0.01973,     0.00359,
2020-04-14 17:00:00,  1679.15450,   569.25955,   106.42833,  3952.47140,     0.01973,     0.00357,
2020-04-14 18:00:00,  1682.42422,   570.30622,   106.69215,  3956.29556,     0.01973,     0.00356,
2020-04-14 19:00:00,  1685.66593,   571.38177,   106.95628,  3960.16767,     0.01973,     0.00355,
2020-04-14 20:00:00,  1688.88187,   572.48412,   107.22074,  3964.08854,     0.01973,     0.00353,
2020-04-14 21:00:00,  1692.07407,   573.61138,   107.48551,  3968.05883,     0.01973,     0.00352,
2020-04-14 22:00:00,  1695.24446,   574.76179,   107.75059,  3972.07910,     0.01973,     0.00351,
2020-04-14 23:00:00,  1698.39480,   575.93373,   108.01598,  3976.14976,     0.01973,     0.00349,
2020-04-15 00:00:00,  1701.52672,   577.12570,   108.28166,  3980.27112,     0.01973,     0.00348,
2020-04-15 01:00:00,  1704.64175,   578.33633,   108.54765,  3984.44341,     0.01973,     0.00347,
2020-04-15 02:00:00,  1707.74130,   579.56434,   108.81393,  3988.66674,     0.01973,     0.00345,
2020-04-15 03:00:00,  1710.82666,   580.80857,   109.08051,  3992.94118,     0.01973,     0.00344,
2020-04-15 04:00:00,  1713.89906,   582.06794,   109.34738,  3997.26668,     0.01973,     0.00343,
2020-04-15 05:00:00,  1716.95962,   583.34145,   109.61453,  4001.64316,     0.01973,     0.00341,
2020-04-15 06:00:00,  1720.00939,   584.62817,   109.88198,  4006.07045,     0.01973,     0.00340,
2020-04-15 07:00:00,  1723.04933,   585.92728,   110.14970,  4010.54835,     0.01973,     0.00339,
2020-04-15 08:00:00,  1726.08035,   587.23798,   110.41771,  4015.07659,     0.01973,     0.00337,
2020-04-15 09:00:00,  1729.10329,   588.55955,   110.68599,  4019.65486,     0.01973,     0.00336,
2020-04-15 10:00:00,  1732.11893,   589.89135,   110.95456,  4024.28282,     0.01973,     0.00335,
2020-04-15 11:00:00,  1735.12799,   591.23274,   111.22340,  4028.96008,     0.01973,     0.00334,
2020-04-15 12:00:00,  1738.13116,   592.58317,   111.49251,  4033.68622,     0.01973,     0.00332,
2020-04-15 13:00:00,  1741.12905,   593.94213,   111.76190,  4038.46079,     0.01973,     0.00331,
2020-04-15 14:00:00,  1744.12226,   595.30912,   112.03156,  4043.28332,     0.01973,     0.00330,
2020-04-15 15:00:00,  1747.11134,   596.68372,   112.30150,  4048.15331,     0.01973,     0.00329,
2020-04-15 16:00:00,  1750.09679,   598.06552,   112.57170,  4053.07024,     0.01973,     0.00327,
2020-04-15 17:00:00,  1753.07909,   599.45414,   112.84217,  4058.03357,     0.01973,     0.00326,
2020-04-15 18:00:00,  1756.05869,   600.84923,   113.11291,  4063.04276,     0.01973,     0.00325,
2020-04-15 19:00:00,  1759.03599,   602.25049,   113.38391,  4068.09722,     0.01973,     0.00324,
2020-04-15 20:00:00,  1762.01139,   603.65761,   113.65519,  4073.19638,     0.01973,     0.00322,
2020-04-15 21:00:00,  1764.98526,   605.07033,   113.92672,  4078.33966,     0.01973,     0.00321,
2020-04-15 22:00:00,  1767.95792,   606.48840,   114.19853,  4083.52645,     0.01973,     0.00320,
2020-04-15 23:00:00,  1770.92971,   607.91160,   114.47059,  4088.75614,     0.01973,     0.00319,
2020-04-16 00:00:00,  1773.90091,   609.33970,   114.74292,  4094.02813,     0.01973,     0.00318,
2020-04-16 01:00:00,  1776.87181,   610.77252,   115.01551,  4099.34179,     0.01973,     0.00316,
2020-04-16 02:00:00,  1779.84267,   612.20988,   115.28837,  4104.69650,     0.01973,     0.00315,
2020-04-16 03:00:00,  1782.81373,   613.65161,   115.56148,  4110.09164,     0.01973,     0.00314,
2020-04-16 04:00:00,  1785.78524,   615.09757,   115.83486,  4115.52659,     0.01973,     0.00313,
2020-04-16 05:00:00,  1788.75740,   616.54761,   116.10850,  4121.00070,     0.01973,     0.00312,
2020-04-16 06:00:00,  1791.73042,   618.00161,   116.38240,  4126.51337,     0.01973,     0.00310,
2020-04-16 07:00:00,  1794.70450,   619.45944,   116.65656,  4132.06396,     0.01973,     0.00309,
2020-04-16 08:00:00,  1797.67982,   620.92101,   116.93098,  4137.65184,     0.01973,     0.00308,
2020-04-16 09:00:00,  1800.65654,   622.38620,   117.20566,  4143.27639,     0.01973,     0.00307,
2020-04-16 10:00:00,  1803.63484,   623.85494,   117.48059,  4148.93698,     0.01973,     0.00306,
2020-04-16 11:00:00,  1806.61486,   625.32713,   117.75579,  4154.63300,     0.01973,     0.00304,
2020-04-16 12:00:00,  1809.59674,   626.80269,   118.03125,  4160.36383,     0.01973,     0.00303,
2020-04-16 13:00:00,  1812.58064,   628.28156,   118.30696,  4166.12886,     0.01973,     0.00302,
2020-04-16 14:00:00,  1815.56667,   629.76368,   118.58293,  4171.92747,     0.01973,     0.00301,
2020-04-16 15:00:00,  1818.55496,   631.24897,   118.85916,  4177.75905,     0.01973,     0.00300,
2020-04-16 16:00:00,  1821.54562,   632.73739,   119.13565,  4183.62302,     0.01973,     0.00299,
2020-04-16 17:00:00,  1824.53876,   634.22889,   119.41240,  4189.51876,     0.01973,     0.00298,
2020-04-16 18:00:00,  1827.53450,   635.72341,   119.68940,  4195.44569,     0.01973,     0.00296,
2020-04-16 19:00:00,  1830.53292,   637.22092,   119.96666,  4201.40322,     0.01973,     0.00295,
2020-04-16 20:00:00,  1833.53413,   638.72138,   120.24418,  4207.39076,     0.01973,     0.00294,
2020-04-16 21:00:00,  1836.53821,   640.22475,   120.52196,  4213.40774,     0.01973,     0.00293,
2020-04-16 22:00:00,  1839.54525,   641.73101,   120.79999,  4219.45359,     0.01973,     0.00292,
2020-04-16 23:00:00,  1842.55533,   643.24011,   121.07828,  4225.52773,     0.01973,     0.00291,
2020-04-17 00:00:00,  1845.56852,   644.75204,   121.35683,  4231.62961,     0.01973,     0.00290,
2020-04-17 01:00:00,  1848.58491,   646.26676,   121.63564,  4237.75867,     0.01973,     0.00289,
2020-04-17 02:00:00,  1851.60455,   647.78427,   121.91470,  4243.91436,     0.01973,     0.00288,
2020-04-17 03:00:00,  1854.62752,   649.30453,   122.19402,  4250.09613,     0.01973,     0.00286,
2020-04-17 04:00:00,  1857.65389,   650.82752,   122.47360,  4256.30345,     0.01973,     0.00285,
2020-04-17 05:00:00,  1860.68370,   652.35324,   122.75343,  4262.53579,     0.01973,     0.00284,
2020-04-17 06:00:00,  1863.71703,   653.88166,   123.03352,  4268.79260,     0.01973,     0.00283,
2020-04-17 07:00:00,  1866.75392,   655.41277,   123.31387,  4275.07339,     0.01973,     0.00282,
2020-04-17 08:00:00,  1869.79443,   656.94656,   123.59448,  4281.37762,     0.01973,     0.00281,
2020-04-17 09:00:00,  1872.83861,   658.48302,   123.87534,  4287.70479,     0.01973,     0.00280,
2020-04-17 10:00:00,  1875.88651,   660.02214,   124.15646,  4294.05439,     0.01973,     0.00279,
2020-04-17 11:00:00,  1878.93817,   661.56391,   124.43784,  4300.42593,     0.01973,     0.00278,
2020-04-17 12:00:00,  1881.99364,   663.10831,   124.71948,  4306.81891,     0.01973,     0.00277,
2020-04-17 13:00:00,  1885.05296,   664.65536,   125.00137,  4313.23284,     0.01973,     0.00276,
2020-04-17 14:00:00,  1888.11616,   666.20502,   125.28352,  4319.66726,     0.01973,     0.00275,
2020-04-17 15:00:00,  1891.18330,   667.75731,   125.56593,  4326.12167,     0.01973,     0.00274,
2020-04-17 16:00:00,  1894.25440,   669.31222,   125.84860,  4332.59561,     0.01973,     0.00273,
2020-04-17 17:00:00,  1897.32950,   670.86974,   126.13152,  4339.08861,     0.01973,     0.00272,
2020-04-17 18:00:00,  1900.40863,   672.42987,   126.41471,  4345.60022,     0.01973,     0.00271,
2020-04-17 19:00:00,  1903.49183,   673.99261,   126.69815,  4352.12999,     0.01973,     0.00269,
2020-04-17 20:00:00,  1906.57912,   675.55795,   126.98185,  4358.67746,     0.01973,     0.00268,
2020-04-17 21:00:00,  1909.67053,   677.12589,   127.26581,  4365.24219,     0.01973,     0.00267,
2020-04-17 22:00:00,  1912.76610,   678.69644,   127.55002,  4371.82376,     0.01973,     0.00266,
2020-04-17 23:00:00,  1915.86584,   680.26958,   127.83450,  4378.42171,     0.01973,     0.00265,
2020-04-18 00:00:00,  1918.96978,   681.84533,   128.11923,  4385.03564,     0.01973,     0.00264,
2020-04-18 01:00:00,  1922.07795,   683.42367,   128.40422,  4391.66511,     0.01973,     0.00263,
2020-04-18 02:00:00,  1925.19036,   685.00461,   128.68947,  4398.30972,     0.01973,     0.00262,
2020-04-18 03:00:00,  1928.30705,   686.58815,   128.97498,  4404.96905,     0.01973,     0.00261,
2020-04-18 04:00:00,  1931.42802,   688.17428,   129.26075,  4411.64270,     0.01973,     0.00260,
2020-04-18 05:00:00,  1934.55330,   689.76302,   129.54678,  4418.33026,     0.01973,     0.00259,
2020-04-18 06:00:00,  1937.68291,   691.35436,   129.83306,  4425.03134,     0.01973,     0.00258,
2020-04-18 07:00:00,  1940.81686,   692.94830,   130.11961,  4431.74556,     0.01973,     0.00257,
2020-04-18 08:00:00,  1943.95516,   694.54485,   130.40642,  4438.47252,     0.01973,     0.00256,
2020-04-18 09:00:00,  1947.09784,   696.14400,   130.69348,  4445.21185,     0.01973,     0.00255,
2020-04-18 10:00:00,  1950.24490,   697.74576,   130.98081,  4451.96316,     0.01973,     0.00255,
2020-04-18 11:00:00,  1953.39637,   699.35012,   131.26839,  4458.72610,     0.01973,     0.00254,
2020-04-18 12:00:00,  1956.55224,   700.95710,   131.55624,  4465.50028,     0.01973,     0.00253,
2020-04-18 13:00:00,  1959.71254,   702.56669,   131.84435,  4472.28536,     0.01973,     0.00252,
2020-04-18 14:00:00,  1962.87727,   704.17890,   132.13271,  4479.08096,     0.01973,     0.00251,
2020-04-18 15:00:00,  1966.04644,   705.79372,   132.42134,  4485.88675,     0.01973,     0.00250,
2020-04-18 16:00:00,  1969.22006,   707.41117,   132.71023,  4492.70237,     0.01973,     0.00249,
2020-04-18 17:00:00,  1972.39814,   709.03123,   132.99937,  4499.52748,     0.01973,     0.00248,
2020-04-18 18:00:00,  1975.58069,   710.65393,   133.28878,  4506.36173,     0.01973,     0.00247,
