Date, Active, Recoveries, Deaths, Active+Infected, lambda, kappa,
2020-04-22 00:00:00,  2120.00000,   872.00000,   152.00000,  5264.00000,     0.00000,     0.00413,
2020-04-22 01:00:00,  2127.63159,   872.00000,   152.36580,  5263.87193,     0.01607,     0.00412,
2020-04-22 02:00:00,  2135.11093,   872.13194,   152.73220,  5263.62981,     0.01824,     0.00410,
2020-04-22 03:00:00,  2142.44781,   872.38614,   153.09916,  5263.28331,     0.01854,     0.00408,
2020-04-22 04:00:00,  2149.65133,   872.75367,   153.46666,  5262.84136,     0.01857,     0.00407,
2020-04-22 05:00:00,  2156.72988,   873.22622,   153.83468,  5262.31222,     0.01858,     0.00405,
2020-04-22 06:00:00,  2163.69125,   873.79612,   154.20319,  5261.70354,     0.01858,     0.00403,
2020-04-22 07:00:00,  2170.54266,   874.45629,   154.57216,  5261.02239,     0.01858,     0.00402,
2020-04-22 08:00:00,  2177.29080,   875.20015,   154.94158,  5260.27532,     0.01858,     0.00400,
2020-04-22 09:00:00,  2183.94185,   876.02163,   155.31142,  5259.46838,     0.01858,     0.00398,
2020-04-22 10:00:00,  2190.50155,   876.91511,   155.68168,  5258.60715,     0.01858,     0.00397,
2020-04-22 11:00:00,  2196.97520,   877.87540,   156.05232,  5257.69681,     0.01858,     0.00395,
2020-04-22 12:00:00,  2203.36770,   878.89770,   156.42333,  5256.74212,     0.01858,     0.00393,
2020-04-22 13:00:00,  2209.68362,   879.97756,   156.79470,  5255.74749,     0.01858,     0.00392,
2020-04-22 14:00:00,  2215.92716,   881.11089,   157.16641,  5254.71701,     0.01858,     0.00390,
2020-04-22 15:00:00,  2222.10223,   882.29389,   157.53844,  5253.65443,     0.01858,     0.00389,
2020-04-22 16:00:00,  2228.21242,   883.52306,   157.91079,  5252.56322,     0.01858,     0.00387,
2020-04-22 17:00:00,  2234.26109,   884.79516,   158.28344,  5251.44659,     0.01858,     0.00385,
2020-04-22 18:00:00,  2240.25133,   886.10720,   158.65637,  5250.30751,     0.01858,     0.00384,
2020-04-22 19:00:00,  2246.18602,   887.45642,   159.02958,  5249.14871,     0.01858,     0.00382,
2020-04-22 20:00:00,  2252.06780,   888.84025,   159.40305,  5247.97270,     0.01858,     0.00381,
2020-04-22 21:00:00,  2257.89914,   890.25634,   159.77677,  5246.78183,     0.01858,     0.00379,
2020-04-22 22:00:00,  2263.68231,   891.70251,   160.15074,  5245.57822,     0.01858,     0.00377,
2020-04-22 23:00:00,  2269.41944,   893.17675,   160.52494,  5244.36387,     0.01858,     0.00376,
2020-04-23 00:00:00,  2275.11249,   894.67719,   160.89936,  5243.14061,     0.01858,     0.00374,
2020-04-23 01:00:00,  2280.76326,   896.20212,   161.27399,  5241.91011,     0.01858,     0.00373,
