Date, Active, Recoveries, Deaths,
2020-03-16 00:00:00,   277.00000,     1.00000,     2.00000,
2020-03-17 00:00:00,   335.00000,     3.00000,     2.00000,
2020-03-18 00:00:00,   390.00000,     3.00000,     2.00000,
2020-03-19 00:00:00,   479.00000,     3.00000,     3.00000,
2020-03-20 00:00:00,   634.00000,     3.00000,     3.00000,
2020-03-21 00:00:00,   783.00000,     3.00000,     4.00000,
2020-03-22 00:00:00,  1323.00000,     3.00000,     4.00000,
2020-03-23 00:00:00,  1498.00000,     3.00000,     4.00000,
2020-03-24 00:00:00,  1877.00000,    52.00000,     6.00000,
2020-03-25 00:00:00,  1875.00000,    52.00000,     8.00000,
2020-03-26 00:00:00,  2438.00000,    63.00000,     9.00000,
2020-03-27 00:00:00,  2860.00000,    72.00000,    13.00000,
2020-03-28 00:00:00,  3360.00000,    72.00000,    18.00000,
2020-03-29 00:00:00,  3634.00000,    72.00000,    19.00000,
2020-03-30 00:00:00,  3849.00000,   228.00000,    23.00000,
2020-03-31 00:00:00,  5003.00000,   240.00000,    27.00000,
2020-04-01 00:00:00,  4994.00000,   248.00000,    28.00000,
2020-04-02 00:00:00,  5373.00000,   256.00000,    36.00000,
2020-04-03 00:00:00,  6020.00000,   266.00000,    39.00000,
2020-04-04 00:00:00,  6933.00000,   279.00000,    43.00000,
2020-04-05 00:00:00,  6931.00000,   280.00000,    44.00000,
2020-04-06 00:00:00,  7397.00000,   325.00000,    48.00000,
2020-04-07 00:00:00,  7746.00000,   338.00000,    56.00000,
2020-04-08 00:00:00,  8154.00000,   358.00000,    63.00000,
2020-04-09 00:00:00,  8538.00000,   365.00000,    72.00000,
2020-04-10 00:00:00,  9418.00000,   375.00000,    82.00000,
2020-04-11 00:00:00,  9352.00000,   440.00000,    83.00000,
2020-04-12 00:00:00, 10152.00000,   468.00000,    90.00000,
2020-04-13 00:00:00, 10428.00000,   515.00000,    97.00000,
2020-04-14 00:00:00, 10724.00000,   559.00000,   102.00000,
