Date, Active, Recoveries, Deaths,
2020-02-22 00:00:00,    59.00000,     1.00000,     2.00000,
2020-02-23 00:00:00,   150.00000,     2.00000,     3.00000,
2020-02-24 00:00:00,   221.00000,     1.00000,     7.00000,
2020-02-25 00:00:00,   311.00000,     1.00000,    10.00000,
2020-02-26 00:00:00,   438.00000,     3.00000,    12.00000,
2020-02-27 00:00:00,   593.00000,    45.00000,    17.00000,
2020-02-28 00:00:00,   821.00000,    46.00000,    21.00000,
2020-02-29 00:00:00,  1053.00000,    46.00000,    29.00000,
2020-03-01 00:00:00,  1577.00000,    83.00000,    34.00000,
2020-03-02 00:00:00,  1835.00000,   149.00000,    52.00000,
2020-03-03 00:00:00,  2263.00000,   160.00000,    79.00000,
2020-03-04 00:00:00,  2706.00000,   276.00000,   107.00000,
2020-03-05 00:00:00,  3296.00000,   414.00000,   148.00000,
2020-03-06 00:00:00,  3916.00000,   523.00000,   197.00000,
2020-03-07 00:00:00,  5061.00000,   589.00000,   233.00000,
2020-03-08 00:00:00,  6387.00000,   622.00000,   366.00000,
2020-03-09 00:00:00,  7985.00000,   724.00000,   463.00000,
2020-03-10 00:00:00,  8794.00000,   724.00000,   631.00000,
2020-03-11 00:00:00, 10590.00000,  1045.00000,   827.00000,
2020-03-12 00:00:00, 10590.00000,  1045.00000,   827.00000,
2020-03-13 00:00:00, 14955.00000,  1439.00000,  1266.00000,
2020-03-14 00:00:00, 17750.00000,  1966.00000,  1441.00000,
2020-03-15 00:00:00, 20603.00000,  2335.00000,  1809.00000,
2020-03-16 00:00:00, 23073.00000,  2749.00000,  2158.00000,
2020-03-17 00:00:00, 26062.00000,  2941.00000,  2503.00000,
2020-03-18 00:00:00, 28710.00000,  4025.00000,  2978.00000,
2020-03-19 00:00:00, 33190.00000,  4440.00000,  3405.00000,
2020-03-20 00:00:00, 38549.00000,  4440.00000,  4032.00000,
2020-03-21 00:00:00, 42681.00000,  6072.00000,  4825.00000,
2020-03-22 00:00:00, 46638.00000,  7024.00000,  5476.00000,
2020-03-23 00:00:00, 50826.00000,  7024.00000,  6077.00000,
2020-03-24 00:00:00, 54030.00000,  8326.00000,  6820.00000,
2020-03-25 00:00:00, 57521.00000,  9362.00000,  7503.00000,
2020-03-26 00:00:00, 62013.00000, 10361.00000,  8215.00000,
2020-03-27 00:00:00, 66414.00000, 10950.00000,  9134.00000,
2020-03-28 00:00:00, 70065.00000, 12384.00000, 10023.00000,
