Date, Active, Recoveries, Deaths,
2020-03-01 00:00:00,    82.00000,     2.00000,     0.00000,
2020-03-02 00:00:00,   118.00000,     2.00000,     0.00000,
2020-03-03 00:00:00,   162.00000,     2.00000,     1.00000,
2020-03-04 00:00:00,   218.00000,     2.00000,     2.00000,
2020-03-05 00:00:00,   254.00000,     2.00000,     3.00000,
2020-03-06 00:00:00,   393.00000,     2.00000,     5.00000,
2020-03-07 00:00:00,   460.00000,    30.00000,    10.00000,
2020-03-08 00:00:00,   626.00000,    30.00000,    17.00000,
2020-03-09 00:00:00,  1013.00000,    32.00000,    28.00000,
2020-03-10 00:00:00,  1628.00000,    32.00000,    35.00000,
2020-03-11 00:00:00,  2040.00000,   183.00000,    54.00000,
2020-03-12 00:00:00,  2039.00000,   183.00000,    55.00000,
2020-03-13 00:00:00,  4906.00000,   193.00000,   133.00000,
2020-03-14 00:00:00,  5679.00000,   517.00000,   195.00000,
2020-03-15 00:00:00,  6992.00000,   517.00000,   289.00000,
2020-03-16 00:00:00,  9070.00000,   530.00000,   342.00000,
2020-03-17 00:00:00, 10187.00000,  1028.00000,   533.00000,
2020-03-18 00:00:00, 12206.00000,  1081.00000,   623.00000,
2020-03-19 00:00:00, 16026.00000,  1107.00000,   830.00000,
2020-03-20 00:00:00, 17779.00000,  1588.00000,  1043.00000,
2020-03-21 00:00:00, 21874.00000,  2125.00000,  1375.00000,
2020-03-22 00:00:00, 24421.00000,  2575.00000,  1772.00000,
2020-03-23 00:00:00, 30250.00000,  2575.00000,  2311.00000,
2020-03-24 00:00:00, 33283.00000,  3794.00000,  2808.00000,
2020-03-25 00:00:00, 40501.00000,  5367.00000,  3647.00000,
2020-03-26 00:00:00, 46406.00000,  7015.00000,  4365.00000,
2020-03-27 00:00:00, 51224.00000,  9357.00000,  5138.00000,
2020-03-28 00:00:00, 54968.00000, 12285.00000,  5982.00000,
2020-03-29 00:00:00, 58598.00000, 14709.00000,  6803.00000,
2020-03-30 00:00:00, 63460.00000, 16780.00000,  7716.00000,
2020-03-31 00:00:00, 68200.00000, 19259.00000,  8464.00000,
2020-04-01 00:00:00, 72084.00000, 22647.00000,  9387.00000,
2020-04-02 00:00:00, 74974.00000, 26743.00000, 10348.00000,
2020-04-03 00:00:00, 77488.00000, 30513.00000, 11198.00000,
2020-04-04 00:00:00, 80002.00000, 34219.00000, 11947.00000,
2020-04-05 00:00:00, 80925.00000, 38080.00000, 12641.00000,
2020-04-06 00:00:00, 82897.00000, 40437.00000, 13341.00000,
2020-04-07 00:00:00, 84689.00000, 43208.00000, 14045.00000,
