ProvinceState,CountryRegion,Population,Day_02_03_20,Day_03_03_20,Day_04_03_20,Day_05_03_20,Day_06_03_20,Day_07_03_20,Day_08_03_20,Day_09_03_20,Day_10_03_20,Day_11_03_20,Day_12_03_20,Day_13_03_20,Day_14_03_20,Day_15_03_20,Day_16_03_20,Day_17_03_20,Day_18_03_20,Day_19_03_20,Day_20_03_20,Day_21_03_20,Day_22_03_20,Day_23_03_20,Day_24_03_20,Day_25_03_20,Day_26_03_20,Day_27_03_20,Day_28_03_20,Day_29_03_20,Day_30_03_20,Day_31_03_20,Day_01_04_20,Day_02_04_20,Day_03_04_20,Day_04_04_20,Day_05_04_20,Day_06_04_20,Day_07_04_20,Day_08_04_20,Day_09_04_20,Day_10_04_20,Day_11_04_20,Day_12_04_20,Day_13_04_20,Day_14_04_20,Day_15_04_20,Day_16_04_20,Day_17_04_20,Day_18_04_20,Day_19_04_20,Day_20_04_20
CABA,Argentina,3075646,1,1,1,1,1,1,1,2,3,4,14,16,27,33,38,42,52,60,69,98,109,120,149,170,200,227,245,258,292,311,321,345,373,407,439,456,480,498,521,532,578,586,596,618,648,663,677,691,706,728
Buenos Aires,Argentina,17541141,0,0,0,1,1,1,9,9,10,11,11,12,12,13,14,15,21,35,44,58,66,71,100,130,157,193,201,217,253,270,280,316,338,364,397,409,443,460,488,507,544,572,601,667,729,759,793,824,872,914
Catamarca,Argentina,415438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,Argentina,1204541,0,0,0,0,0,0,0,5,5,5,5,5,5,9,12,13,14,16,17,22,29,33,42,54,57,60,65,69,81,84,96,99,107,115,115,119,123,138,144,149,149,150,153,184,191,202,224,248,253,258
Chubut,Argentina,618994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,3,3
Córdoba,Argentina,3760450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,5,9,13,21,24,31,46,49,54,55,73,81,95,101,117,131,134,139,146,150,151,156,169,201,206,210,222,228,241,247,249,260,260
Corrientes,Argentina,1120801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,6,8,9,19,20,21,22,22,22,22,24,24,24,24,24,24,24,31,31,31,31,31,31,31,34
Entre Ríos,Argentina,1385961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,4,4,4,4,4,7,7,10,10,10,13,13,14,16,18,18,19,19,20,20,21,21,21,21,21,21,21,22,22,22,22,22
Formosa,Argentina,605193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy,Argentina,770881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
