ProvinceState,CountryRegion,Population,Day_02_03_20,Day_03_03_20,Day_04_03_20,Day_05_03_20,Day_06_03_20,Day_07_03_20,Day_08_03_20,Day_09_03_20,Day_10_03_20,Day_11_03_20,Day_12_03_20,Day_13_03_20,Day_14_03_20,Day_15_03_20,Day_16_03_20,Day_17_03_20,Day_18_03_20,Day_19_03_20,Day_20_03_20,Day_21_03_20,Day_22_03_20,Day_23_03_20,Day_24_03_20,Day_25_03_20,Day_26_03_20,Day_27_03_20,Day_28_03_20,Day_29_03_20,Day_30_03_20,Day_31_03_20,Day_01_04_20,Day_02_04_20,Day_03_04_20,Day_04_04_20,Day_05_04_20,Day_06_04_20,Day_07_04_20,Day_08_04_20,Day_09_04_20,Day_10_04_20,Day_11_04_20,Day_12_04_20,Day_13_04_20,Day_14_04_20,Day_15_04_20,Day_16_04_20,Day_17_04_20,Day_18_04_20,Day_19_04_20,Day_20_04_20,Day_21_04_20,Day_22_04_20,Day_23_04_20,Day_24_04_20,Day_25_04_20,Day_26_04_20,Day_27_04_20,Day_28_04_20,Day_29_04_20,Day_30_04_20,Day_01_05_20,Day_02_05_20,Day_03_05_20,Day_04_05_20
CABA,Argentina,3075646,0,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,5,6,7,7,7,7,8,8,8,9,9,12,14,16,22,23,26,27,28,30,34,36,37,38,38,38,42,43,44,48,52,57,59,61,64,66,70,78,80,84
Buenos Aires,Argentina,17541141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,4,5,6,6,8,8,10,12,15,16,17,19,23,24,30,31,35,39,40,42,43,46,49,51,51,52,56,61,65,69,71,73,74,80,82,84,87,89,92,99
Catamarca,Argentina,415438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chaco,Argentina,1204541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3,4,4,5,6,6,6,7,7,7,8,8,8,8,8,9,9,10,10,10,11,12,12,12,12,13,13,13,14,14,15,15,15,16,17,18
Chubut,Argentina,618994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Córdoba,Argentina,3760450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2,3,4,5,6,6,6,6,6,8,8,9,9,10,11,11,12,13,13,13,13,14,16,18
Corrientes,Argentina,1120801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Entre Ríos,Argentina,1385961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Formosa,Argentina,605193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jujuy,Argentina,770881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Pampa,Argentina,358428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Rioja,Argentina,393531,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,3,3,3,3,5,5,5,5,6,6,6,6,6,6,6,6,6,6
Mendoza,Argentina,1990338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,2,3,3,3,3,4,4,4,4,4,4,4,4,4,5,7,7,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10
Misiones,Argentina,1261294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Neuquén,Argentina,664057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,3,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,6,6,6,6,6,6,6
Río Negro,Argentina,747610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,6,6,6,6,7,7,7,7,8,8
Salta,Argentina,1424397,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
